Schematic Reference,Qty,Manufacturer,MPN,Attrition %,TotalPartsMouser
R65,1,Yageo,AC0603JR-0710ML,10,2
"JP10,JP11,JP12",3,Molex,22-28-4030,10,4
U2,1,Winbond,W25Q128JVSIQ,10,2
Q1,1,Toshiba,"T2N7002AK,LM",10,2
"JP13,JP14,JP15,JP16,JP17,JP18,JP19,JP20,JP21,JP22",10,Sullins,QPC02SXGN-RC,10,11
R16,1,Stackpole Electronics,RMCF0603JT510K,10,2
R57,1,Stackpole Electronics,RMCF0603JT360R,10,2
"R19,R36",2,Stackpole Electronics,RMCF0603JT200K,10,3
"R38,R40",2,Stackpole Electronics,RMCF0603JT120K,10,3
"R22,R23,R24,R25,R58",5,Stackpole Electronics,RMCF0603JT100R,10,6
R18,1,Stackpole Electronics,RMCF0603JT47K0,10,2
"R28,R31,R66",3,Stackpole Electronics,RMCF0603JT10K0,10,4
"R63,R64",2,Stackpole Electronics,RMCF0603JT5K10,10,3
"R10,R11,R14,R15,R20,R21,R34,R35",8,Stackpole Electronics,RMCF0603JT2K20,10,9
"R17,R49,R59,R60,R61",5,Stackpole Electronics,RMCF0603JG100K,10,6
R53,1,Stackpole Electronics,RMCF0603FT113K,10,2
R62,1,Stackpole Electronics,RMCF0603FT45K3,10,2
R54,1,Stackpole Electronics,RMCF0603FT28K0,10,2
R55,1,Stackpole Electronics,RMCF0603FT14K0,10,2
R48,1,Stackpole Electronics,RMCF0603FT2K00,10,2
"R3,R4",2,Stackpole Electronics,RMCF0402JT27R0,10,3
R51,1,Panasonic,ERJ-8CWJR010V,10,2
U16,1,onsemi,FPF1048BUCX,10,2
"R43,R45",2,Bourns,CR0402-JW-201GLF,10,3
J1,1,Amphenol Communications Solutions,12401610E4#2A,10,2
"Q3,Q4",2,Yangjie Electronic Technology,YJL3416A,10,3
D6,1,Harvatek,B1911UYG-20D000114U1930,10,2
D4,1,Harvatek,B0211NB--02D000114U1930,10,2
U3,1,Raspberry Pi,SC0914(13),10,2
J4,1,GCT,USB4120-03-C,10,2
"TP27,TP35",2,Adam Tech,PH1-02-UA,10,3
"JP8,JP9",2,Adam Tech,PH1-02-UA,10,3
"JP1,JP2,JP3,JP4,JP5,JP6,JP7",7,Adam Tech,PH1-02-UA,10,8
"R1,R5,R46,R47,R50",5,Walsin Technologies,WR04X102 JTL,10,6
"C28,C49",2,Samsung,CL10A225KP8NNNC,10,3
C84,1,Samsung,CL05B103KA5NNNC,10,2
"C5,C6,C7,C9,C11,C12,C13,C14,C15,C16,C24,C32,C35,C36,C37,C38,C39,C40,C41,C44,C57,C58,C59,C60,C61,C62,C63,C64,C65,C66,C70,C71,C72,C73,C74,C85,C90,C92,C102,C103,C104",41,Samsung,CL05A104KA5NNNC,10,46
R52,1,Stackpole Electronics,RMCF0603FT768K,10,2
"R37,R39",2,Stackpole Electronics,RMCF0603FT649K,10,3
Y1,1,Abracon,ABLS-12.000MHZ-B4-T,10,2
"C17,C20,C25,C27,C42,C43,C67,C68,C75,C77,C80",11,Murata,GRM188R61E106KA73J,10,13
"C4,C8,C10,C21,C22,C29,C47,C48,C50,C51,C52,C53,C54,C55,C69,C88,C105",17,Murata,GRM155R61E105KA12D,10,19
D7,1,KYOCERA AVX,SD2114S040S8R0,10,2
S1,1,C&K Components,JS202011SCQN,10,2
R56,1,Yageo,RC0603JR-07110RL,10,2
"U24,U25",2,Texas Instruments,TVS0500DRVR,10,3
"U7,U10,U15,U19,U20,U21,U22,U23,U26,U27",10,Texas Instruments,TPD1E05U06DPYR,10,11
