Designator,Mid X,Mid Y,Layer,Rotation
C2,-7.116885,78.220538,bottom,0
C3,-8.406885,77.240538,bottom,180
C7,-9.465,82.590538,bottom,0
C11,-4.617565,85.431569,bottom,0
C14,-6.565,82.590538,bottom,180
C15,-5.388993,87.408869,bottom,0
C17,-5.038993,84.161569,bottom,0
C18,-64.706685,99.340538,bottom,180
C19,-70.206685,100.590538,bottom,0
C37,-16.056593,88.544069,bottom,90
C45,-15.2328,37.3151,bottom,90
C46,-14.2168,37.3151,bottom,90
C73,-32.065,94.0015,bottom,-90
C84,-65.165,88.5815,bottom,90
J4,-37.165,33.0015,bottom,180
R5,-8.888993,79.501569,bottom,-90
R6,-30.378999,75.4015,bottom,90
R7,-28.015,75.2765,bottom,90
R10,-25.715,80.6545,bottom,-90
R11,-27.265,80.6515,bottom,-90
R14,-24.109006,77.6065,bottom,90
R15,-22.585006,77.6065,bottom,90
R23,-17.576593,88.544069,bottom,90
R29,-67.888993,42.786569,bottom,90
R30,-64.110793,36.944569,bottom,0
R32,-11.8292,34.1655,bottom,0
R33,-11.8292,35.1815,bottom,0
U7,-30.015,77.5265,bottom,180
U10,-27.665,77.4015,bottom,180
U15,-10.265,34.1015,bottom,180
U23,-36.69,37.3265,bottom,90
U27,-65.315,102.6265,bottom,90
C1,41.116685,86.125538,top,0
C4,58.986593,89.264069,top,180
C5,3.348993,99.120869,top,-90
C6,7.666993,90.304469,top,90
C8,9.648193,90.304469,top,90
C9,8.682993,90.304469,top,90
C10,10.613393,90.304469,top,90
C12,13.938193,87.408869,top,0
C13,16.165,83.1015,top,0
C16,11.578593,90.304469,top,90
C20,59.033685,97.870538,top,-90
C21,46.133193,99.161969,top,90
C22,43.212193,102.209969,top,0
C23,39.757793,101.7015,top,90
C24,34.274685,85.902538,top,90
C25,37.036685,85.505538,top,180
C26,36.814685,83.730538,top,180
C27,44.466685,86.115538,top,90
C28,36.814685,79.158538,top,180
C29,47.265,85.8015,top,180
C30,45.831685,82.841538,top,90
C31,45.831685,79.793538,top,90
C32,39.481685,76.6515,top,90
C33,41.513685,76.6515,top,90
C34,43.545685,76.6515,top,90
C35,19.147994,82.430469,top,0
C36,14.474193,84.564069,top,0
C38,23.681193,89.485569,top,180
C39,23.965,85.2015,top,180
C40,67.465,40.111569,top,180
C41,61.435793,36.370569,top,90
C42,67.465,38.079569,top,180
C43,59.403793,36.370569,top,90
C44,54.910793,34.120569,top,90
C47,14.6994,39.1439,top,90
C48,21.09,34.2671,top,0
C49,18.985,31.521569,top,-90
C50,18.2554,39.1439,top,90
C51,12.9214,38.8899,top,90
C52,16.4774,38.9239,top,90
C53,7.165,33.7309,top,180
C54,7.1904,35.3311,top,180
C55,13.779793,91.658169,top,-90
C56,15.354593,91.658169,top,-90
C57,11.464593,93.298769,top,180
C58,11.464593,96.346769,top,180
C59,13.282193,100.147669,top,90
C60,15.568193,99.385669,top,0
C61,17.828793,100.147669,top,-90
C62,17.850193,103.174069,top,90
C63,19.374193,103.174069,top,-90
C64,20.648193,91.1293,top,-90
C65,22.172193,94.1015,top,-90
C66,22.965,91.5015,top,0
C67,34.144393,99.278769,top,90
C68,35.665,99.3015,top,90
C69,31.923992,89.209169,top,-90
C70,30.399992,89.209169,top,-90
C71,30.806392,99.267569,top,90
C72,25.738993,94.911569,top,180
C74,67.186593,87.769069,top,0
C75,26.488993,92.661569,top,-90
C76,43.821793,89.575969,top,-90
C77,35.965,95.0015,top,90
C78,41.738993,89.561569,top,-90
C80,34.465,95.0265,top,90
C85,58.986593,86.264069,top,180
C86,67.186593,86.264069,top,0
C87,58.986593,87.764069,top,180
C88,67.017593,93.230069,top,90
C90,67.186593,90.817069,top,0
C91,67.186593,89.293069,top,0
C92,65.517593,93.230069,top,90
C93,64.017593,93.230069,top,90
C97,27.608993,31.711569,top,-90
C100,34.907986,43.611638,top,-90
C101,35.747986,39.961638,top,90
C102,56.681685,90.065538,top,-90
C103,53.111685,99.135538,top,0
C104,56.456685,94.140538,top,0
C105,46.456593,101.654069,top,180
D4,50.581685,90.065538,top,90
D6,27.859992,102.366369,top,90
D7,38.815,96.4015,top,90
J1,71.606685,100.090538,top,90
J3,63.818993,42.501569,top,-90
JP1,1.565,43.6765,top,0
JP2,13.728993,42.701569,top,90
JP3,24.638993,36.6615,top,0
JP4,23.695,40.4115,top,-90
JP5,3.765,31.7265,top,180
JP6,-2.138371,43.665828,top,0
JP7,22.622592,104.855569,top,90
JP8,22.622592,101.147169,top,90
JP9,22.622592,97.489569,top,90
JP10,46.665,40.7265,top,0
JP11,5.265,43.7265,top,0
JP12,9.065,43.7015,top,0
JP13,1.565,43.674,top,0
JP14,24.64,36.669,top,0
JP15,13.7225,42.7015,top,90
JP16,21.1475,40.4015,top,90
JP17,46.665,40.719,top,0
JP18,3.765,34.269,top,0
JP19,-2.138371,43.663328,top,0
JP20,5.265,43.719,top,0
JP21,9.065,43.7015,top,0
JP22,22.6225,104.8515,top,90
L1,50.022685,81.317538,top,-90
L2,37.165,89.9015,top,0
L3,63.005193,82.118069,top,0
L4,31.188993,39.031569,top,180
Q1,46.160893,94.137769,top,180
Q2,19.765,98.5015,top,-90
Q3,53.866593,104.334069,top,0
Q4,49.946593,101.644069,top,180
Q5,19.097194,86.084269,top,180
Q6,51.690493,34.051069,top,-90
R1,2.917193,91.295069,top,180
R3,13.965,89.4015,top,180
R4,13.966193,88.4015,top,180
R16,42.678793,96.916569,top,180
R17,42.678793,95.392569,top,0
R18,45.729093,96.652369,top,180
R19,32.750685,85.902538,top,90
R20,36.814685,80.682538,top,0
R21,36.814685,82.206538,top,0
R22,14.474193,86.088069,top,0
R24,23.681193,87.961569,top,180
R25,23.681193,86.437569,top,180
R28,71.763993,38.711569,top,0
R31,60.010793,32.095569,top,-90
R34,7.1356,30.7015,top,0
R35,7.165,32.2015,top,0
R36,10.64,36.0015,top,0
R37,17.465,31.516569,top,-90
R38,15.941,31.516569,top,-90
R39,20.87,36.2483,top,0
R40,20.87,37.7723,top,0
R41,11.464593,97.870769,top,0
R42,11.464593,94.822769,top,0
R43,14.806193,101.658469,top,90
R44,15.368193,104.132269,top,180
R45,16.328793,101.658469,top,90
R46,19.124193,94.788269,top,-90
R47,19.124193,91.777869,top,-90
R48,20.648193,94.1265,top,-90
R49,27.758392,99.267569,top,-90
R50,32.330392,99.267569,top,90
R51,56.106685,100.265538,top,90
R52,60.963593,93.230069,top,90
R53,62.487593,93.230069,top,90
R54,58.986593,90.814069,top,180
R55,59.439593,93.230069,top,90
R56,29.282392,99.267569,top,-90
R57,49.056685,90.065538,top,-90
R58,50.081685,99.135538,top,180
R59,52.106685,90.065538,top,90
R60,53.631685,90.065538,top,90
R61,55.156685,90.065538,top,90
R62,56.456685,92.615538,top,0
R63,56.456685,97.190538,top,0
R64,56.456685,95.665538,top,0
R65,22.708993,44.261569,top,-90
R66,50.388993,104.134069,top,180
S1,26.488993,79.111569,top,180
TP1,43.865,43.9015,top,0
TP2,37.565,44.0015,top,0
TP3,68.415,31.7115,top,0
TP4,67.285,35.5015,top,0
TP5,26.905,85.1115,top,0
TP6,30.055,85.1815,top,0
TP9,59.230678,101.511569,top,0
TP10,60.888993,104.361569,top,0
TP11,57.426593,104.270031,top,0
TP13,40.765,43.8015,top,0
TP14,39.065,41.1015,top,0
TP15,40.065,38.0015,top,0
TP16,10.365,31.5015,top,0
TP17,13.565,31.491569,top,0
TP18,42.465,41.1015,top,0
TP19,20.288993,43.831569,top,0
TP20,13.665,81.8015,top,0
TP21,21.365,31.5015,top,0
TP22,-2.135,37.7015,top,0
TP23,37.738993,105.011569,top,0
TP24,30.295,105.0415,top,0
TP25,42.465,92.6015,top,0
TP26,46.539593,89.5015,top,0
TP27,17.191793,79.557569,top,0
TP29,43.265,37.9015,top,0
TP30,43.665,32.8015,top,0
TP31,33.385685,76.745538,top,0
TP32,36.560685,76.745538,top,0
TP33,55.066593,86.974069,top,0
TP34,59.965,76.3015,top,0
TP35,0.865,88.7765,top,0
TP36,26.795,89.5615,top,0
U2,6.854193,95.994069,top,90
U3,7.870193,84.818069,top,0
U4,43.059793,99.619169,top,180
U5,33.512685,81.381038,top,90
U6,41.513685,81.317538,top,0
U8,71.184243,41.460319,top,0
U9,62.785793,32.658069,top,-90
U11,14.7038,34.6721,top,0
U12,15.744593,96.070769,top,0
U13,30.399992,94.390769,top,0
U14,63.086593,89.014069,top,0
U16,24.978993,44.001569,top,0
