Ref,Val,Package,PosX,PosY,Rot,Side
"C2","27pF","C_0402_1005Metric",-7.116885,78.220538,0.000000,bottom
"C3","27pF","C_0402_1005Metric",-8.406885,77.240538,180.000000,bottom
"C7","0.1uF","C_0402_1005Metric",-9.465000,82.590538,0.000000,bottom
"C11","0.1uF","C_0402_1005Metric",-4.617565,85.431569,0.000000,bottom
"C14","0.1uF","C_0402_1005Metric",-6.565000,82.590538,180.000000,bottom
"C15","0.1uF","C_0402_1005Metric",-5.388993,87.408869,0.000000,bottom
"C17","10uF","C_0603_1608Metric",-5.038993,84.161569,0.000000,bottom
"C18","27pF","C_0402_1005Metric",-64.706685,99.340538,180.000000,bottom
"C19","27pF","C_0402_1005Metric",-70.206685,100.590538,0.000000,bottom
"C37","0.1uF","C_0402_1005Metric",-16.056593,88.544069,90.000000,bottom
"C45","27pF","C_0402_1005Metric",-15.232800,37.315100,90.000000,bottom
"C46","27pF","C_0402_1005Metric",-14.216800,37.315100,90.000000,bottom
"C73","0.1uF","C_0402_1005Metric",-32.065000,94.001500,-90.000000,bottom
"C84","10nF","C_0402_1005Metric",-65.165000,88.581500,90.000000,bottom
"J4","USB4120-03-C_REVA","GCT_USB4120-03-C_REVA",-37.165000,33.001500,180.000000,bottom
"R5","1k","R_0402_1005Metric",-8.888993,79.501569,-90.000000,bottom
"R6","10","R_0402_1005Metric",-30.378999,75.401500,90.000000,bottom
"R7","10","R_0402_1005Metric",-28.015000,75.276500,90.000000,bottom
"R10","2.2k","R_0603_1608Metric",-25.715000,80.654500,-90.000000,bottom
"R11","2.2k","R_0603_1608Metric",-27.265000,80.651500,-90.000000,bottom
"R14","2.2k","R_0603_1608Metric",-24.109006,77.606500,90.000000,bottom
"R15","2.2k","R_0603_1608Metric",-22.585006,77.606500,90.000000,bottom
"R23","100","R_0603_1608Metric",-17.576593,88.544069,90.000000,bottom
"R29","0.39","R_0603_1608Metric",-67.888993,42.786569,90.000000,bottom
"R30","0.39","R_0603_1608Metric",-64.110793,36.944569,0.000000,bottom
"R32","10","R_0402_1005Metric",-11.829200,34.165500,0.000000,bottom
"R33","10","R_0402_1005Metric",-11.829200,35.181500,0.000000,bottom
"U7","TPD1E05U06","TPD1E05U06DPYR",-30.015000,77.526500,180.000000,bottom
"U10","TPD1E05U06","TPD1E05U06DPYR",-27.665000,77.401500,180.000000,bottom
"U15","TPD1E05U06","TPD1E05U06DPYR",-10.265000,34.101500,180.000000,bottom
"U23","TPD1E05U06","TPD1E05U06DPYR",-36.690000,37.326500,90.000000,bottom
"U27","TPD1E05U06","TPD1E05U06DPYR",-65.315000,102.626500,90.000000,bottom
