Query,Qty,Manufacturer,MPN,Octopart URL,Part Description,Description,Schematic Reference,Internal Part Number,Lifecycle,Lead Time,RoHS,Total Qty (@ Batch Size: 5),SKU,SKU,Packaging,Packaging,Unit Price (@ Batch Size: 5),Unit Price (@ Batch Size: 5),In Stock,In Stock,MOQ,MOQ,URL,URL,Distributor [Lowest Price (Selected)],SKU [Lowest Price (Selected)],Packaging [Lowest Price (Selected)],Unit Price (@ Batch Size: 5) [Lowest Price (Selected)],Line Total [Lowest Price (Selected)],Batch Total [Lowest Price (Selected)],In Stock [Lowest Price (Selected)],MOQ [Lowest Price (Selected)],URL [Lowest Price (Selected)],Notes
,,,,,,,,,,,,,Digi-Key,Mouser,Digi-Key,Mouser,Digi-Key,Mouser,Digi-Key,Mouser,Digi-Key,Mouser,Digi-Key,Mouser,,,,,,,,,,
NRS6028T1R5NMGJ,2,Taiyo Yuden,NRS6028T1R5NMGJ,https://octopart.com/nrs6028t1r5nmgj-taiyo+yuden-20124396,Inductor Power Shielded Wirewound 1.5uH 30% 100KHz Ferrite 4.2A 0.0208Ohm DCR 2424 T/R,Inductor,"L1,L3",NRS6028T1R5NMGJ,,19w,Compliant,10,587-2937-1-ND,963-NRS6028T1R5NMGJ,Cut Tape,Tape & Reel,0.319,0.249,18729,3925,1,1,https://octopart.com/opatz8j6/a1?t=QJ3w9J0uTuekbSRqMzLqdQc9riKcRJxRS40sx4cNaldAN7Bm0vqjuJSpK-P6R-DHmieCGqdT-6EpdVZpgIMW19AZAChKy4tuSHPqeSbbth-YKyck99ffd2qe9HwsnbPDci2VON63UDI_3PAeoIepJd1EKv7S0ybzbz5PDN3muZXReMjw9cl3-pgLhN7TihhNhiiQLw0Hs2UWH1nZqIErZurc_370Z55_-rvjy3j0LFpIfDPrKoanVdrqN1DCf3Z2_OAM,https://octopart.com/opatz8j6/a1?t=YWBmwD-DQztJN56ClzgZSiOazvwVc9uy81I0_KHPuO4QShOnIcu0vk8-_UF9_QGKKHmIY-LJMTZxTfqCRl0P9XB7PRwKbyFE1ukspX3jWDGLLO4YQxUg2XvNbOtiex_3WfgqVyvDD3tN90AQqELfD4WgJfgXvzk5lLOVM2fbTyZ7SayuOpaSyHC0QdIMeytrWar3IqzsfGB-XESmKsfo4qvvcN-ihiBWZZXWGWhHy3lLzTdO_8_XdPwCrteqeDiUBOBW2w,Mouser,963-NRS6028T1R5NMGJ,Tape & Reel,0.249,0.498,2.49,3925,1,https://octopart.com/opatz8j6/a1?t=YWBmwD-DQztJN56ClzgZSiOazvwVc9uy81I0_KHPuO4QShOnIcu0vk8-_UF9_QGKKHmIY-LJMTZxTfqCRl0P9XB7PRwKbyFE1ukspX3jWDGLLO4YQxUg2XvNbOtiex_3WfgqVyvDD3tN90AQqELfD4WgJfgXvzk5lLOVM2fbTyZ7SayuOpaSyHC0QdIMeytrWar3IqzsfGB-XESmKsfo4qvvcN-ihiBWZZXWGWhHy3lLzTdO_8_XdPwCrteqeDiUBOBW2w,
ERJ-3RQJR39V,2,Panasonic,ERJ-3RQJR39V,https://octopart.com/erj-3rqjr39v-panasonic-55422222,Res Thick Film 0603 0.39 Ohm 5% 1/10W ±300ppm/°C Molded SMD Punched Carrier T/R,Resistor,"R29,R30",ERJ-3RQJR39V,Production (Last Updated: 2 years ago),55w,Compliant,10,P.39AHCT-ND,667-ERJ-3RQJR39V,Cut Tape,Tape & Reel,0.128,0.063,14371,14702,1,1,https://octopart.com/opatz8j6/a1?t=p5f90NJk9TRAoIJlgeLU5mSj_ROSV_AF5TTizaHMqw5wDmlamPBI_P7wA5qS0czw6-cDDnXTjqtHS5MD0VLnABH6q_dCF3b8NIco53bn8pSmDl160kA-X_waZPfBBTuWFfdqBzKrRYQeWSdylMbXgFtlhyPXRLOenvUUioUoCVi17myrjAehFtg_qc7yuxD7ZYcyQ3LZju7_4hfU8OgSHPRVBjSHA3hSO8fZeg9gBvKc8bsdz1u3sy1cTnVDamQwn4ZWNA,https://octopart.com/opatz8j6/a1?t=rXbLF2S-i-ABbOusB08y_UMqeI1cjmvmP68tX-riPi_5GOFuK6a2DFtE4id6zrwYK9sj_loqWghmTuLwqunh3qxu8lkTLeycYATa-U1LJUOwQ13KqgzIBoOK-dsjitaCazipNrMUl6DtMhJ7SuylOYbk3Qsx5xPys7u0tbqw8uyldC2cyEANnK_JwBctqEFFexzxCau-HBebluf4Rsr7uztVuhDzHhprrxdgxjpjEDIpfzqmARa_2dS5JZgsJkp3M5bOdx4,Mouser,667-ERJ-3RQJR39V,Tape & Reel,0.063,0.126,0.63,14702,1,https://octopart.com/opatz8j6/a1?t=rXbLF2S-i-ABbOusB08y_UMqeI1cjmvmP68tX-riPi_5GOFuK6a2DFtE4id6zrwYK9sj_loqWghmTuLwqunh3qxu8lkTLeycYATa-U1LJUOwQ13KqgzIBoOK-dsjitaCazipNrMUl6DtMhJ7SuylOYbk3Qsx5xPys7u0tbqw8uyldC2cyEANnK_JwBctqEFFexzxCau-HBebluf4Rsr7uztVuhDzHhprrxdgxjpjEDIpfzqmARa_2dS5JZgsJkp3M5bOdx4,
67996-412HLF,1,Amphenol ICC / FCI,67996-412HLF,https://octopart.com/67996-412hlf-amphenol+icc+%2F+fci-90333651,Conn Unshrouded Header HDR 12 POS 2.54mm Solder ST Top Entry Thru-Hole BergStik® Bulk,CONN HEADER VERT 12POS 2.54MM,J3,67996-412HLF,,,Compliant,5,,649-67996-412HLF,,Bulk,,0.49,,60,,1,,https://octopart.com/opatz8j6/a1?t=4XTa9dkJndIbDFuYJUH91xj9ydf7QVQQIG-crBwkgLS4M-I7a91LtxjIaoomHcH5K5Cw9dVEAOJV2KHEoYA9Xg4OmxGIub6rOqcXgmSGhxBML4YnS0SpfoEahCxeMaLjgWdt7A3h23dUtJHZEcAm1wGXvwzkt7yBbThnYi7fI3zPjnZwIJyIxzLYu2pMqXom9XyvRDmEp2k757auIhyW-0rqzxe1B5EjRUK2jOP7au0kPTvbJb84roA4kEyCNklBlkmdpFI,Mouser,649-67996-412HLF,Bulk,0.49,0.49,2.45,60,1,https://octopart.com/opatz8j6/a1?t=4XTa9dkJndIbDFuYJUH91xj9ydf7QVQQIG-crBwkgLS4M-I7a91LtxjIaoomHcH5K5Cw9dVEAOJV2KHEoYA9Xg4OmxGIub6rOqcXgmSGhxBML4YnS0SpfoEahCxeMaLjgWdt7A3h23dUtJHZEcAm1wGXvwzkt7yBbThnYi7fI3zPjnZwIJyIxzLYu2pMqXom9XyvRDmEp2k757auIhyW-0rqzxe1B5EjRUK2jOP7au0kPTvbJb84roA4kEyCNklBlkmdpFI,
RC0402FR-1310RL,6,Yageo,RC0402FR-1310RL,https://octopart.com/rc0402fr-1310rl-yageo-42339770,Res Thick Film 0402 10 Ohm 1% 1/16W ±200ppm/°C Molded SMD SMD Paper T/R,Resistor,"R6,R7,R32,R33,R41,R42",RC0402FR-1310RL,,20w,Compliant,30,13-RC0402FR-1310RLTR-ND,603-RC0402FR-1310RL,Tape & Reel,Tape & Reel,,0.025,50000,111899,50000,1,https://octopart.com/opatz8j6/a1?t=ClD25Oqae8WQtZPSSiF2VfZjZA0L9eu3ai3HC2bDVftdp3G2j9dMmFAF8pNO7UHWrYiWtXk0ScZMExRK4OlAQJ_lbjq-9DeJ9rkeaoasTvqAdgCxJVzS4dP574tezCltATgyoXOZn4HjRf2Kei-OfAdidBa4hI-S1itUXm41iGO2hw5dRryYR2jIUWPRKxV7kD03bRfayQbp4JmuxBqSi6PxZi5vwkPZlbnclFvD0DiAIi93XUL1AgBq7Jm2TYw0m-zw9g,https://octopart.com/opatz8j6/a1?t=0lovdUMOEjnTXi_Vy27z1pD9Z_i_QSrEcnXzyW0Ew_6PbV-JgUiu1zDwn4eZ_SN9xcKjdIfkaUtkgpUaNvxhBo83rlhEON4GQ3Z3wUjBqJHvpN-i6skDvV6VRDyIraBJVh7avQMi5Utq82tHL2PZWRhooyLekg4boh_rjguyoAhfBioUH2408xRjotHeB2sIj-vrCNp8rzA-V92jQbrHNM4cyK_RWHOQN4iLxcYWs2RlQ-aNO1b3ewksXpJpm6Wdp4wIQAw,Mouser,603-RC0402FR-1310RL,Tape & Reel,0.025,0.15000000000000002,0.75,111899,1,https://octopart.com/opatz8j6/a1?t=0lovdUMOEjnTXi_Vy27z1pD9Z_i_QSrEcnXzyW0Ew_6PbV-JgUiu1zDwn4eZ_SN9xcKjdIfkaUtkgpUaNvxhBo83rlhEON4GQ3Z3wUjBqJHvpN-i6skDvV6VRDyIraBJVh7avQMi5Utq82tHL2PZWRhooyLekg4boh_rjguyoAhfBioUH2408xRjotHeB2sIj-vrCNp8rzA-V92jQbrHNM4cyK_RWHOQN4iLxcYWs2RlQ-aNO1b3ewksXpJpm6Wdp4wIQAw,
PA0805FRF470R005L,1,Yageo,PA0805FRF470R005L,https://octopart.com/pa0805frf470r005l-yageo-109011661,Resistor Current Sense Metal Substrate 0805 5mOhm ±1% 1/2W ±100ppm/°C Paper T/R Automotive,Resistor,R44,PA0805FRF470R005L,,20w,,5,13-PA0805FRF470R005LCT-ND,603-PA0805FRF470R05L,Cut Tape,Tape & Reel,0.37,0.36,6890,4651,1,1,https://octopart.com/opatz8j6/a1?t=hiE49VM3C56A_s9bMnKw8BRkNWGgBeRFq7nm58KZt1AbHJlf8PUec1M6BfYeZqBEMHnWbT2l87WF2taD8eP8oOvliSe89SSoJ_Mep9zH5tScBjzgX8jBvBN1WOVZuQmbx7GweSW8DHxAcAWXeLl-f6Bn6UoJ_G2ABqdAGmeg0q-LVCUdCuZr3gt8pkFqmi_hEH7WUdZNIVXsinP7VYKFawt4WK-3k-796ivGHnOOYTTLmde-u7YXTnhWnp-uDhLSg7FbR2k,https://octopart.com/opatz8j6/a1?t=S_Sxx0dCW7S-uSEfZXGaKvVjLISz-CL4oFCwRVKGzSCElh3yyJz1XyGSxP8tJfwq-dRRBf4VtLrNyNjhlMLhte2HGCEoms9M43f39HW_hiMsLyv2-eu6DU-Y8G76js_ET25W_yDrwxmPl0VIsF6O0yWDqXLyODCJIbz3dU3X10txmT63NdeF4wNXpzlRom9UEfsl0C9Leh2acUKQRuXSUOCCF7pAsSGQ9beW51voqX-015uc2XBd-NLgDvKKBpRyeLCFZb6n,Mouser,603-PA0805FRF470R05L,Tape & Reel,0.36,0.36,1.7999999999999998,4651,1,https://octopart.com/opatz8j6/a1?t=S_Sxx0dCW7S-uSEfZXGaKvVjLISz-CL4oFCwRVKGzSCElh3yyJz1XyGSxP8tJfwq-dRRBf4VtLrNyNjhlMLhte2HGCEoms9M43f39HW_hiMsLyv2-eu6DU-Y8G76js_ET25W_yDrwxmPl0VIsF6O0yWDqXLyODCJIbz3dU3X10txmT63NdeF4wNXpzlRom9UEfsl0C9Leh2acUKQRuXSUOCCF7pAsSGQ9beW51voqX-015uc2XBd-NLgDvKKBpRyeLCFZb6n,
TPS61253AYFFR,1,Texas Instruments,TPS61253AYFFR,https://octopart.com/tps61253ayffr-texas+instruments-81717276,"Switching Regulator, Current-mode, 4.6A, 3800kHz Switching Freq-Max, PBGA9","TPS6125xA 3.8-MHz, 5-V / 4-A Boost in 1.2-mm x 1.3-mm WCSP",U17,TPS61253AYFFR,Production (Last Updated: 1 week ago),26w,Compliant,5,,595-TPS61253AYFFR,,Tape & Reel,,1.37,,0,,1,,https://octopart.com/opatz8j6/a1?t=4UvZDZ8P4_SBffYufScaGUb9L11X1M4MWSpVNw6jZbfjPfGLxiWTPLR1Wa6gJm_6lXwut9gOFb31hD2tNN1jC6TIjPeBZ68h5QnWp4ISfOUkuHUpB5GPUV9OBVVSXyNuk4C0xNLJZvbyN-AEEEPA_amAqYsqtuyduNLJ6IHzFyA59XsKsbWpenRjZtkviFCT04_Vda0w4ZQvfEjnAyNAIW4UNqoyz7rGTH8RH4znZzEtFGag3C22y6HTvz1igUBqEjNNcNQ,Mouser,595-TPS61253AYFFR,Tape & Reel,1.37,1.37,6.8500000000000005,0,1,https://octopart.com/opatz8j6/a1?t=4UvZDZ8P4_SBffYufScaGUb9L11X1M4MWSpVNw6jZbfjPfGLxiWTPLR1Wa6gJm_6lXwut9gOFb31hD2tNN1jC6TIjPeBZ68h5QnWp4ISfOUkuHUpB5GPUV9OBVVSXyNuk4C0xNLJZvbyN-AEEEPA_amAqYsqtuyduNLJ6IHzFyA59XsKsbWpenRjZtkviFCT04_Vda0w4ZQvfEjnAyNAIW4UNqoyz7rGTH8RH4znZzEtFGag3C22y6HTvz1igUBqEjNNcNQ,
5002,30,Keystone,5002,https://octopart.com/5002-keystone-5193,MS27478 - Connectors Receptacle Electrical Solder Mounting Solder Type Hermetic Seal 38999 Series II,test point,"TP1,TP2,TP3,TP4,TP5,TP6,TP9,TP10,TP11,TP13,TP14,TP15,TP16,TP17,TP18,TP19,TP20,TP21,TP22,TP23,TP24,TP25,TP26,TP29,TP30,TP31,TP32,TP33,TP34,TP36",5002,,20w,Compliant,150,36-5002-ND,534-5002,Bulk,Bulk,0.3015,0.205,807844,512192,1,1,https://octopart.com/opatz8j6/a1?t=sqIm4spfAEV2Ey-xsZ5q1y1EvTv3AKjwajJBEB0X7N9GUSpoqoks0gwkpASeSRw89tkER-2gdCfBWMjkb9S42v0XYqm4mLVSPTHtjmHhLZrHJVoRzInoKs_ROr_o_DekmEmGbNvwJighxDBXgyP7gUxDdx2Ao4b-QSIi8Re6wAg6RG7TFDV4_k7gvognCWIQP3RxUw2sbWl1wto9wD2n_1Xmvt3UJHo9ubDGzgvXW3CrmkixeoS2y9NH2WgZSGKh,https://octopart.com/opatz8j6/a1?t=YLSgeUYM9Tu-1xNDRtCb8IHLVxawpTjojAbyOlfqDuzeAOVigOO5pBE1SVZkZthHaN15ba4kBSZG3kr3hW4nQmWU1R27Z8CGyiEbff_FAlyRs3C-KkWB39V1SzuRw6vcxujjHOpTpVsd6DN-vDf0ZaJUdUnmU4Zu-DtckWfSfD1m5xMjCiV3pA_2ZNPcN5PbHj0R-ukVUJi1nT_3Y7Zo2zvAyjHxbh12sqPM5p33zEoZ2cN55wRSG_CEf2_4Keq1,Mouser,534-5002,Bulk,0.205,6.1499999999999995,30.749999999999996,512192,1,https://octopart.com/opatz8j6/a1?t=YLSgeUYM9Tu-1xNDRtCb8IHLVxawpTjojAbyOlfqDuzeAOVigOO5pBE1SVZkZthHaN15ba4kBSZG3kr3hW4nQmWU1R27Z8CGyiEbff_FAlyRs3C-KkWB39V1SzuRw6vcxujjHOpTpVsd6DN-vDf0ZaJUdUnmU4Zu-DtckWfSfD1m5xMjCiV3pA_2ZNPcN5PbHj0R-ukVUJi1nT_3Y7Zo2zvAyjHxbh12sqPM5p33zEoZ2cN55wRSG_CEf2_4Keq1,
CL21A475KAQNNNG,4,Samsung,CL21A475KAQNNNG,https://octopart.com/cl21a475kaqnnng-samsung-22361255,"Multilayer Ceramic Capacitor, 4.7 uF, 25 V, ± 10%, X5R, 0805 [2012 Metric]",Unpolarized capacitor,"C23,C97,C100,C101",CL21A475KAQNNNG,Production (Last Updated: 2 years ago),22w,Compliant,20,1276-6462-1-ND,187-CL21A475KAQNNNG,Cut Tape,Tape & Reel,0.073,0.042,175915,225363,1,1,https://octopart.com/opatz8j6/a1?t=IfswEowjQTzvZnGv_Lu-X3I_K1W4fXZ5mLsKASzSxTCW5bB2auwwoNhqu79zBNKuoFIlV91bR6OPJHa_qmhfNddxRDQAHZbwc_PcWTIQtn_UyG6FDjrEuZYsCKp1B3m2cvgawzvWMajpOZRk08VD4rmVhrfmoUieP-7jPNcF1R96VQ4secfBepjfBxTcedXb5GIUi5yZU4lD1Wn11RCt6QFdNRp1ZJY5w2J7GrpbcSp6dQT8GIN34-1DLArGKNQfuDaP,https://octopart.com/opatz8j6/a1?t=wi4KWzbpa4BHCmg4hY9fqRcKnrdoap7aSA60HGwyM5JmFoyIempJQw4BFgqeLf6ne99LB7i2tQoUv5xDGWt8ietMYvEFtgUEVlxfMSeCllVboRzlXzlodoNuJQzlylKgdGvegov7o5gAXpjFKurcXUJz_Ghr2ejdzamkd0AL0YWyvx-AX_F0zYqP5Y-dtYvBnDQQS6beEuub-nSbiy7UfpP2EyjRVx4ZGyfsGbU2ZzQNRPyGi4YolfxbUNGZXV-SzbcTkw,Mouser,187-CL21A475KAQNNNG,Tape & Reel,0.042,0.168,0.8400000000000001,225363,1,https://octopart.com/opatz8j6/a1?t=wi4KWzbpa4BHCmg4hY9fqRcKnrdoap7aSA60HGwyM5JmFoyIempJQw4BFgqeLf6ne99LB7i2tQoUv5xDGWt8ietMYvEFtgUEVlxfMSeCllVboRzlXzlodoNuJQzlylKgdGvegov7o5gAXpjFKurcXUJz_Ghr2ejdzamkd0AL0YWyvx-AX_F0zYqP5Y-dtYvBnDQQS6beEuub-nSbiy7UfpP2EyjRVx4ZGyfsGbU2ZzQNRPyGi4YolfxbUNGZXV-SzbcTkw,
CL10B474KO8NNNC,2,Samsung,CL10B474KO8NNNC,https://octopart.com/cl10b474ko8nnnc-samsung-9301678,"Multilayer Ceramic Capacitor, 0.47 uF, 16 V, ± 10%, X7R, 0603 [1608 Metric]",Unpolarized capacitor,"C26,C56",CL10B474KO8NNNC,Production (Last Updated: 2 years ago),22w,Compliant,10,1276-1062-1-ND,187-CL10B474KO8NNNC,Cut Tape,Tape & Reel,0.047,0.026,284573,188744,1,1,https://octopart.com/opatz8j6/a1?t=qKu6FqEq-Sw8CZJYZi08JENJUMf0-5xm1X9qc7BY8SgwRHEIE6vCziO3QjbuVlZLoFEnbDahcf4u28qyaEhSnSroP378kbTftp_mzVc6ddyzT2AYQXDrIFr_vulUM6jAj8Z1fWoc12G5_4xiMX-qM3JM1iEtSQidyPRwRwMGvxe-_Sx4JoCjyO95zXKZOaY7fzLVzplhbT_Yi94y9ZHq3LxRARvQxFhtV7krxaGuD3iXtbpZClSYvh5XX0yCZqi8eg,https://octopart.com/opatz8j6/a1?t=ERbvq3WI_pEa-Hf3X5SELeq95JsA9_zrusJQA5jPXyLchztMOIMBP7fy4WPy_YVGe9WED0AeEGlNVo4AN4mjH7_VjNwnUOONTXmLlvnxKzVRtCVoHOvBHEZXiWeYbGu9p7fpr8Cgdfeqa07Lz_lh3y1oUVZmUamvFl6n8lNASpWOvXIIvgkwVAnGXIifOqzh-ZXt9eF0sK_VhkLDb-oyJE6mhIqFm-jAVpFLhATFAXUW8Ss2YRiYMblBNMrX2xtM7lmW,Mouser,187-CL10B474KO8NNNC,Tape & Reel,0.026,0.052,0.26,188744,1,https://octopart.com/opatz8j6/a1?t=ERbvq3WI_pEa-Hf3X5SELeq95JsA9_zrusJQA5jPXyLchztMOIMBP7fy4WPy_YVGe9WED0AeEGlNVo4AN4mjH7_VjNwnUOONTXmLlvnxKzVRtCVoHOvBHEZXiWeYbGu9p7fpr8Cgdfeqa07Lz_lh3y1oUVZmUamvFl6n8lNASpWOvXIIvgkwVAnGXIifOqzh-ZXt9eF0sK_VhkLDb-oyJE6mhIqFm-jAVpFLhATFAXUW8Ss2YRiYMblBNMrX2xtM7lmW,
