Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22uF","C_0603_1608Metric",46.100000,38.300000,0.000000,top
"C2","27pF","C_0402_1005Metric",9.880000,29.490000,-90.000000,top
"C3","27pF","C_0402_1005Metric",11.990000,26.850000,180.000000,top
"C4","1uF","C_0402_1005Metric",63.016800,40.689700,180.000000,top
"C5","0.1uF","C_0402_1005Metric",6.379793,54.952869,90.000000,top
"C6","0.1uF","C_0402_1005Metric",11.697200,41.730100,90.000000,top
"C8","1uF","C_0402_1005Metric",13.678400,41.730100,90.000000,top
"C9","0.1uF","C_0402_1005Metric",12.713200,41.730100,90.000000,top
"C10","1uF","C_0402_1005Metric",14.643600,41.730100,90.000000,top
"C12","0.1uF","C_0402_1005Metric",17.968400,38.834500,0.000000,top
"C13","0.1uF","C_0402_1005Metric",20.195207,34.527131,0.000000,top
"C15","0.1uF","C_0402_1005Metric",8.470000,41.300000,90.000000,top
"C16","0.1uF","C_0402_1005Metric",15.608800,41.730100,90.000000,top
"C20","10uF","C_0603_1608Metric",63.063892,49.296169,-90.000000,top
"C21","1uF","C_0402_1005Metric",51.070000,49.500000,0.000000,top
"C22","1uF","C_0402_1005Metric",47.900000,52.900000,0.000000,top
"C23","4.7uF","C_0603_1608Metric",44.650000,53.900000,90.000000,top
"C24","0.1uF","C_0402_1005Metric",38.000000,37.000000,90.000000,top
"C25","10uF","C_0603_1608Metric",42.050000,36.900000,180.000000,top
"C26","0.47uF","C_0603_1608Metric",40.844892,35.156169,180.000000,top
"C27","10uF","C_0603_1608Metric",48.496892,37.541169,90.000000,top
"C28","2.2uF","C_0603_1608Metric",40.844892,30.584169,180.000000,top
"C29","1uF","C_0402_1005Metric",49.750000,37.000000,-90.000000,top
"C30","0.22uF","C_0603_1608Metric",49.861892,34.267169,90.000000,top
"C31","0.22uF","C_0603_1608Metric",49.861892,31.219169,90.000000,top
"C32","0.1uF","C_0402_1005Metric",43.511892,28.077131,90.000000,top
"C33","22uF","C_0603_1608Metric",45.543892,28.077131,90.000000,top
"C34","22uF","C_0603_1608Metric",47.250000,28.077131,90.000000,top
"C35","0.1uF","C_0402_1005Metric",23.178201,33.856100,0.000000,top
"C36","0.1uF","C_0402_1005Metric",18.504400,35.989700,0.000000,top
"C38","0.1uF","C_0402_1005Metric",25.700000,41.500000,90.000000,top
"C39","0.1uF","C_0402_1005Metric",28.880000,36.500000,0.000000,top
"C40","0.1uF","C_0402_1005Metric",48.120000,17.600000,0.000000,top
"C41","0.1uF","C_0402_1005Metric",30.600000,20.000000,180.000000,top
"C42","10uF","C_0603_1608Metric",48.000000,16.350000,0.000000,top
"C43","10uF","C_0603_1608Metric",34.498682,18.508471,0.000000,top
"C44","0.1uF","C_0402_1005Metric",13.717500,21.420000,-90.000000,top
"C45","27pF","C_0402_1005Metric",13.100000,9.200000,90.000000,top
"C46","27pF","C_0402_1005Metric",10.400000,9.020000,90.000000,top
"C47","1uF","C_0402_1005Metric",11.734400,9.342400,90.000000,top
"C48","1uF","C_0402_1005Metric",15.325000,4.550000,-90.000000,top
"C49","2.2uF","C_0603_1608Metric",16.050000,1.750000,-90.000000,top
"C50","1uF","C_0402_1005Metric",15.800000,10.300000,90.000000,top
"C51","1uF","C_0402_1005Metric",9.300000,9.000000,90.000000,top
"C52","1uF","C_0402_1005Metric",14.100000,9.200000,90.000000,top
"C53","1uF","C_0402_1005Metric",4.200000,3.929400,180.000000,top
"C54","1uF","C_0402_1005Metric",4.225400,5.529600,180.000000,top
"C55","1uF","C_0402_1005Metric",17.810000,43.083800,-90.000000,top
"C56","0.47uF","C_0603_1608Metric",19.200000,44.000000,-90.000000,top
"C57","0.1uF","C_0402_1005Metric",15.494800,44.724400,180.000000,top
"C58","0.1uF","C_0402_1005Metric",15.494800,47.772400,180.000000,top
"C59","0.1uF","C_0402_1005Metric",17.312400,51.573300,90.000000,top
"C60","0.1uF","C_0402_1005Metric",19.598400,50.811300,0.000000,top
"C61","0.1uF","C_0402_1005Metric",21.859000,51.573300,-90.000000,top
"C62","0.1uF","C_0402_1005Metric",21.880400,54.599700,90.000000,top
"C63","0.1uF","C_0402_1005Metric",21.900000,56.480000,90.000000,top
"C64","0.1uF","C_0402_1005Metric",24.678400,42.554931,-90.000000,top
"C65","0.1uF","C_0402_1005Metric",26.202400,45.527131,-90.000000,top
"C66","0.1uF","C_0402_1005Metric",26.200000,43.620000,-90.000000,top
"C67","10uF","C_0603_1608Metric",38.174600,50.704400,90.000000,top
"C68","10uF","C_0603_1608Metric",39.695207,50.727131,90.000000,top
"C69","1uF","C_0402_1005Metric",35.954199,40.634800,-90.000000,top
"C70","0.1uF","C_0402_1005Metric",34.430199,40.634800,-90.000000,top
"C71","0.1uF","C_0402_1005Metric",34.836599,50.693200,90.000000,top
"C72","0.1uF","C_0402_1005Metric",29.750000,46.700000,180.000000,top
"C73","0.1uF","C_0402_1005Metric",37.000000,42.100000,-90.000000,top
"C74","100uF","CP_Elec_APXJ100ARA271MF61G",43.750000,20.750000,180.000000,top
"C75","10uF","C_0603_1608Metric",30.850000,44.087200,-90.000000,top
"C76","22uF","C_0603_1608Metric",47.250000,41.000000,-90.000000,top
"C77","10uF","C_0603_1608Metric",39.995207,46.427131,90.000000,top
"C78","22uF","C_0603_1608Metric",45.769200,40.987200,-90.000000,top
"C79","100uF","C_1206_3216Metric",28.900000,43.900000,-90.000000,top
"C80","10uF","C_0603_1608Metric",38.495207,46.452131,90.000000,top
"C82","100uF","C_1206_3216Metric",51.200000,40.250000,-90.000000,top
"C83","100uF","C_1206_3216Metric",53.500000,40.250000,-90.000000,top
"C84","10nF","C_0402_1005Metric",72.100000,39.850000,-90.000000,top
"C85","0.1uF","C_0402_1005Metric",63.016800,37.689700,180.000000,top
"C86","100uF","CP_Elec_APXJ100ARA271MF61G",25.725000,23.000000,180.000000,top
"C87","22uF","C_0603_1608Metric",63.016800,39.189700,180.000000,top
"C88","1uF","C_0402_1005Metric",68.047800,44.480700,90.000000,top
"C89","100uF","CP_Elec_APXJ100ARA271MF61G",53.225000,20.725000,0.000000,top
"C90","100uF","CP_Elec_APXJ100ARA271MF61G",35.300000,23.000000,0.000000,top
"C91","100uF","C_1206_3216Metric",49.200000,27.300000,-90.000000,top
"C92","0.1uF","C_0402_1005Metric",72.550000,44.380000,90.000000,top
"C93","22uF","C_0603_1608Metric",71.200000,44.500000,90.000000,top
"C94","1uF","C_0402_1005Metric",70.430000,40.750000,0.000000,top
"C95","1uF","C_0402_1005Metric",71.200000,38.400000,0.000000,top
"C96","100uF","C_1206_3216Metric",23.725000,58.950000,90.000000,top
"C97","4.7uF","C_0603_1608Metric",32.123993,2.610069,-90.000000,top
"C99","1uF","C_0402_1005Metric",41.000000,28.025000,90.000000,top
"C100","4.7uF","C_0603_1608Metric",22.537500,3.500000,180.000000,top
"C101","4.7uF","C_0603_1608Metric",33.850000,9.200000,0.000000,top
"C102","0.1uF","C_0402_1005Metric",60.711892,41.491169,-90.000000,top
"C103","0.1uF","C_0402_1005Metric",57.141892,50.561169,0.000000,top
"C104","0.1uF","C_0402_1005Metric",60.486892,45.566169,0.000000,top
"C105","1uF","C_0402_1005Metric",53.910000,54.920000,90.000000,top
"C106","100uF","C_1206_3216Metric",30.675000,53.650000,0.000000,top
"C107","100uF","C_1206_3216Metric",30.650000,56.000000,0.000000,top
"C108","100uF","C_1206_3216Metric",30.650000,58.300000,0.000000,top
"C109","100uF","C_1206_3216Metric",57.550000,62.650000,90.000000,top
"C110","22nF","C_0402_1005Metric",56.750000,65.900000,90.000000,top
"C111","1.5nF","C_0402_1005Metric",60.000000,61.800000,180.000000,top
"C112","3.3nF","C_0402_1005Metric",53.350000,65.810000,-90.000000,top
"C127","100uF","C_1206_3216Metric",56.275000,59.200000,180.000000,top
"C129","10uF","C_0603_1608Metric",48.360000,58.575000,-90.000000,top
"C130","10uF","C_0603_1608Metric",46.900000,58.575000,-90.000000,top
"C131","100uF","C_1210_3225Metric",44.550000,57.750000,-90.000000,top
"C132","10uF","C_0603_1608Metric",50.600000,61.580000,-90.000000,top
"C133","100uF","C_1210_3225Metric",41.350000,57.750000,-90.000000,top
"C134","10uF","C_0603_1608Metric",49.100000,61.580000,-90.000000,top
"C135","100uF","C_1210_3225Metric",38.150000,57.750000,-90.000000,top
"C136","10uF","C_0603_1608Metric",47.600000,61.580000,-90.000000,top
"C137","100uF","C_1210_3225Metric",45.250000,62.400000,-90.000000,top
"C138","100uF","C_1210_3225Metric",42.050000,62.400000,-90.000000,top
"D1","LED-RED","B12H1UYG-20D000134U1930",32.776668,69.500000,90.000000,top
"D2","LED-YG","B12H1UYG-20D000134U1930",25.526668,69.500000,90.000000,top
"D3","LED-Amber","B12H1UYG-20D000134U1930",27.943334,69.500000,90.000000,top
"D4","SMF13A","D_SOD-123F",49.200000,65.550000,180.000000,top
"D5","LED-GREEN","B12H1UYG-20D000134U1930",30.360000,69.500000,90.000000,top
"D6","SMF13A","D_SOD-123F",44.000000,65.950000,180.000000,top
"D7","D_Schottky","SD2114S040S8R0",42.845207,47.827131,90.000000,top
"D9","IN4448HLP","D_0402_1005Metric",53.750000,68.000000,90.000000,top
"D10","SMF13A","D_SOD-123F",39.250000,62.300000,90.000000,top
"D11","IN4448HLP","D_0402_1005Metric",59.700000,64.500000,0.000000,top
"IC1","TPS22998RYZR","TPS22998RYZR",26.387000,58.475000,0.000000,top
"J1","USBC_Receptacle_SMD_RA","CON_USB3.1-C_RCPT_SMD_RA_ACP_12401610E4#2A",68.300000,65.150001,180.000000,top
"J2","Conn_01x05","PinSocket_1x05_P2.54mm_Vertical",8.990000,67.730000,90.000000,top
"J8","Conn_01x02","THT_Pitch5mm_Drill1.2mm",47.100000,67.900000,0.000000,top
"L1","1.5uH","NRS6028T1R5NMGJ",54.052892,32.743169,-90.000000,top
"L2","0.47uH","Vishay-IHLP-2020BZ-FP_1.905x2.79-3D_2.0-0-0-MFG",41.195207,41.327131,0.000000,top
